prompt,domain,quality_band,clarity,context,relevance,specificity,creativity
Make a program.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe testing.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about QA.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain bugs.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List test cases.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Create a module.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Describe packages.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about imports.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain dependencies.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
List libraries.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Make a component.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe UI.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about UX.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain frontend.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List backend terms.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Create a button.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Describe forms.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about inputs.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain outputs.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
List UI elements.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Make a layout.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe CSS.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about HTML.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain JavaScript.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List web technologies.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Create a page.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Describe servers.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about hosting.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain deployment.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
List cloud services.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Make a database.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe SQL.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about queries.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain tables.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List database types.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Create a query.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Describe schema.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about relationships.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain normalization.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
List SQL commands.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Make a table.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe indexes.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about keys.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain joins.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List operations.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Create a view.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Describe transactions.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about ACID.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain consistency.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
List properties.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Make a backup.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe security.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about encryption.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain authentication.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List security measures.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Create a user.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Describe permissions.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about roles.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain access control.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
List protocols.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Make a secure app.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe HTTPS.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about SSL.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain certificates.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List security terms.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Create a certificate.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Describe networking.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about TCP/IP.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain HTTP.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
List protocols.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Make a request.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe responses.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about APIs.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain endpoints.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List methods.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Create an endpoint.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Describe REST.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about JSON.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain XML.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
List data formats.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Make a API call.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe microservices.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about architecture.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain patterns.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List architectures.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Create a service.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Describe containers.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about Docker.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain Kubernetes.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
List tools.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Make a container.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe DevOps.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about CI/CD.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain pipelines.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List practices.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Create a pipeline.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Describe automation.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about testing.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain unit tests.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
List test types.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Make a test.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe integration.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about systems.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain acceptance.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List methodologies.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Create a test case.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Describe Agile.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about Scrum.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain Kanban.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
List frameworks.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Make a sprint.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe stories.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about tasks.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain backlog.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List items.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Create a story.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Describe planning.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about estimation.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain velocity.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
List metrics.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Make a plan.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe monitoring.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about logging.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain metrics.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List tools.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Create a log.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Describe alerts.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about dashboards.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain monitoring.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
List systems.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Make a dashboard.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Describe performance.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about optimization.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain caching.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
List techniques.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Create a cache.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Describe memory.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Talk about CPU.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Explain resources.,software_engineering,low,1.0,1.0,1.1,1.0,1.0
List components.,software_engineering,low,1.0,1.0,1.0,1.0,1.0
Make a system.,software_engineering,low,1.0,1.0,1.0,1.0,1.1
Teach math.,education,low,1.0,1.0,1.0,1.0,1.0
Explain science.,education,low,1.0,1.0,1.1,1.0,1.0
Describe history.,education,low,1.0,1.0,1.0,1.0,1.1
Talk about English.,education,low,1.0,1.0,1.0,1.0,1.0
List subjects.,education,low,1.0,1.0,1.0,1.0,1.0
Create a lesson.,education,low,1.0,1.0,1.0,1.0,1.1
Describe learning.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about teaching.,education,low,1.0,1.0,1.0,1.0,1.0
Explain education.,education,low,1.0,1.0,1.1,1.0,1.0
List methods.,education,low,1.0,1.0,1.0,1.0,1.0
Make a plan.,education,low,1.0,1.0,1.0,1.0,1.1
Describe classroom.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about students.,education,low,1.0,1.0,1.0,1.0,1.0
Explain curriculum.,education,low,1.0,1.0,1.0,1.0,1.0
List topics.,education,low,1.0,1.0,1.0,1.0,1.1
Create a course.,education,low,1.0,1.0,1.0,1.0,1.0
Describe assessment.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about exams.,education,low,1.0,1.0,1.0,1.0,1.0
Explain grading.,education,low,1.0,1.0,1.1,1.0,1.0
List criteria.,education,low,1.0,1.0,1.0,1.0,1.0
Make a test.,education,low,1.0,1.0,1.0,1.0,1.1
Describe homework.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about assignments.,education,low,1.0,1.0,1.0,1.0,1.0
Explain projects.,education,low,1.0,1.0,1.0,1.0,1.0
List activities.,education,low,1.0,1.0,1.0,1.0,1.1
Create a worksheet.,education,low,1.0,1.0,1.0,1.0,1.0
Describe materials.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about resources.,education,low,1.0,1.0,1.0,1.0,1.0
Explain tools.,education,low,1.0,1.0,1.1,1.0,1.0
List equipment.,education,low,1.0,1.0,1.0,1.0,1.0
Make a resource.,education,low,1.0,1.0,1.0,1.0,1.1
Describe technology.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about computers.,education,low,1.0,1.0,1.0,1.0,1.0
Explain software.,education,low,1.0,1.0,1.0,1.0,1.0
List apps.,education,low,1.0,1.0,1.0,1.0,1.1
Create a presentation.,education,low,1.0,1.0,1.0,1.0,1.0
Describe slides.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about videos.,education,low,1.0,1.0,1.0,1.0,1.0
Explain media.,education,low,1.0,1.0,1.1,1.0,1.0
List types.,education,low,1.0,1.0,1.0,1.0,1.0
Make a video.,education,low,1.0,1.0,1.0,1.0,1.1
Describe online.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about digital.,education,low,1.0,1.0,1.0,1.0,1.0
Explain e-learning.,education,low,1.0,1.0,1.0,1.0,1.0
List platforms.,education,low,1.0,1.0,1.0,1.0,1.1
Create a module.,education,low,1.0,1.0,1.0,1.0,1.0
Describe courses.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about modules.,education,low,1.0,1.0,1.0,1.0,1.0
Explain units.,education,low,1.0,1.0,1.1,1.0,1.0
List sections.,education,low,1.0,1.0,1.0,1.0,1.0
Make a unit.,education,low,1.0,1.0,1.0,1.0,1.1
Describe objectives.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about goals.,education,low,1.0,1.0,1.0,1.0,1.0
Explain outcomes.,education,low,1.0,1.0,1.0,1.0,1.0
List targets.,education,low,1.0,1.0,1.0,1.0,1.1
Create a goal.,education,low,1.0,1.0,1.0,1.0,1.0
Describe standards.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about benchmarks.,education,low,1.0,1.0,1.0,1.0,1.0
Explain criteria.,education,low,1.0,1.0,1.1,1.0,1.0
List standards.,education,low,1.0,1.0,1.0,1.0,1.0
Make a standard.,education,low,1.0,1.0,1.0,1.0,1.1
Describe evaluation.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about feedback.,education,low,1.0,1.0,1.0,1.0,1.0
Explain review.,education,low,1.0,1.0,1.0,1.0,1.0
List methods.,education,low,1.0,1.0,1.0,1.0,1.1
Create a review.,education,low,1.0,1.0,1.0,1.0,1.0
Describe improvement.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about growth.,education,low,1.0,1.0,1.0,1.0,1.0
Explain development.,education,low,1.0,1.0,1.1,1.0,1.0
List areas.,education,low,1.0,1.0,1.0,1.0,1.0
Make a plan.,education,low,1.0,1.0,1.0,1.0,1.1
Describe skills.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about knowledge.,education,low,1.0,1.0,1.0,1.0,1.0
Explain concepts.,education,low,1.0,1.0,1.0,1.0,1.0
List abilities.,education,low,1.0,1.0,1.0,1.0,1.1
Create a skill.,education,low,1.0,1.0,1.0,1.0,1.0
Describe practice.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about exercise.,education,low,1.0,1.0,1.0,1.0,1.0
Explain repetition.,education,low,1.0,1.0,1.1,1.0,1.0
List drills.,education,low,1.0,1.0,1.0,1.0,1.0
Make a exercise.,education,low,1.0,1.0,1.0,1.0,1.1
Describe study.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about research.,education,low,1.0,1.0,1.0,1.0,1.0
Explain reading.,education,low,1.0,1.0,1.0,1.0,1.0
List methods.,education,low,1.0,1.0,1.0,1.0,1.1
Create a study guide.,education,low,1.0,1.0,1.0,1.0,1.0
Describe notes.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about summaries.,education,low,1.0,1.0,1.0,1.0,1.0
Explain outlines.,education,low,1.0,1.0,1.1,1.0,1.0
List techniques.,education,low,1.0,1.0,1.0,1.0,1.0
Make a summary.,education,low,1.0,1.0,1.0,1.0,1.1
Describe memory.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about recall.,education,low,1.0,1.0,1.0,1.0,1.0
Explain retention.,education,low,1.0,1.0,1.0,1.0,1.0
List strategies.,education,low,1.0,1.0,1.0,1.0,1.1
Create a mnemonic.,education,low,1.0,1.0,1.0,1.0,1.0
Describe thinking.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about critical.,education,low,1.0,1.0,1.0,1.0,1.0
Explain analysis.,education,low,1.0,1.0,1.1,1.0,1.0
List skills.,education,low,1.0,1.0,1.0,1.0,1.0
Make a analysis.,education,low,1.0,1.0,1.0,1.0,1.1
Describe creativity.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about innovation.,education,low,1.0,1.0,1.0,1.0,1.0
Explain imagination.,education,low,1.0,1.0,1.0,1.0,1.0
List aspects.,education,low,1.0,1.0,1.0,1.0,1.1
Create a idea.,education,low,1.0,1.0,1.0,1.0,1.0
Describe collaboration.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about teamwork.,education,low,1.0,1.0,1.0,1.0,1.0
Explain cooperation.,education,low,1.0,1.0,1.1,1.0,1.0
List benefits.,education,low,1.0,1.0,1.0,1.0,1.0
Make a team.,education,low,1.0,1.0,1.0,1.0,1.1
Describe communication.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about speaking.,education,low,1.0,1.0,1.0,1.0,1.0
Explain listening.,education,low,1.0,1.0,1.0,1.0,1.0
List skills.,education,low,1.0,1.0,1.0,1.0,1.1
Create a speech.,education,low,1.0,1.0,1.0,1.0,1.0
Describe writing.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about composition.,education,low,1.0,1.0,1.0,1.0,1.0
Explain grammar.,education,low,1.0,1.0,1.1,1.0,1.0
List rules.,education,low,1.0,1.0,1.0,1.0,1.0
Make a sentence.,education,low,1.0,1.0,1.0,1.0,1.1
Describe reading.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about comprehension.,education,low,1.0,1.0,1.0,1.0,1.0
Explain vocabulary.,education,low,1.0,1.0,1.0,1.0,1.0
List words.,education,low,1.0,1.0,1.0,1.0,1.1
Create a word list.,education,low,1.0,1.0,1.0,1.0,1.0
Describe mathematics.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about numbers.,education,low,1.0,1.0,1.0,1.0,1.0
Explain operations.,education,low,1.0,1.0,1.1,1.0,1.0
List concepts.,education,low,1.0,1.0,1.0,1.0,1.0
Make a calculation.,education,low,1.0,1.0,1.0,1.0,1.1
Describe science.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about experiments.,education,low,1.0,1.0,1.0,1.0,1.0
Explain methods.,education,low,1.0,1.0,1.0,1.0,1.0
List disciplines.,education,low,1.0,1.0,1.0,1.0,1.1
Create a experiment.,education,low,1.0,1.0,1.0,1.0,1.0
Describe history.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about events.,education,low,1.0,1.0,1.0,1.0,1.0
Explain timelines.,education,low,1.0,1.0,1.1,1.0,1.0
List periods.,education,low,1.0,1.0,1.0,1.0,1.0
Make a timeline.,education,low,1.0,1.0,1.0,1.0,1.1
Describe geography.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about maps.,education,low,1.0,1.0,1.0,1.0,1.0
Explain locations.,education,low,1.0,1.0,1.0,1.0,1.0
List features.,education,low,1.0,1.0,1.0,1.0,1.1
Create a map.,education,low,1.0,1.0,1.0,1.0,1.0
Describe art.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about music.,education,low,1.0,1.0,1.0,1.0,1.0
Explain techniques.,education,low,1.0,1.0,1.1,1.0,1.0
List forms.,education,low,1.0,1.0,1.0,1.0,1.0
Make a drawing.,education,low,1.0,1.0,1.0,1.0,1.1
Describe physical.,education,low,1.0,1.0,1.0,1.0,1.0
Talk about health.,education,low,1.0,1.0,1.0,1.0,1.0
Explain fitness.,education,low,1.0,1.0,1.0,1.0,1.0
List activities.,education,low,1.0,1.0,1.0,1.0,1.1
Create a workout.,education,low,1.0,1.0,1.0,1.0,1.0
Write a post.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Make content.,content_creation,low,1.0,1.0,1.1,1.0,1.0
Create media.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Describe creation.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about content.,content_creation,low,1.0,1.0,1.0,1.0,1.0
List types.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Make a video.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Describe writing.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about blogging.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain social media.,content_creation,low,1.0,1.0,1.1,1.0,1.0
List platforms.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Create a blog.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Describe photography.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about images.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain editing.,content_creation,low,1.0,1.0,1.0,1.0,1.0
List techniques.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Make a photo.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Describe video.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about filming.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain production.,content_creation,low,1.0,1.0,1.1,1.0,1.0
List equipment.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Create a clip.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Describe audio.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about podcast.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain recording.,content_creation,low,1.0,1.0,1.0,1.0,1.0
List tools.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Make a recording.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Describe graphics.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about design.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain layout.,content_creation,low,1.0,1.0,1.1,1.0,1.0
List elements.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Create a graphic.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Describe animation.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about motion.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain frames.,content_creation,low,1.0,1.0,1.0,1.0,1.0
List types.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Make a animation.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Describe marketing.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about promotion.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain advertising.,content_creation,low,1.0,1.0,1.1,1.0,1.0
List strategies.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Create a ad.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Describe branding.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about identity.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain logo.,content_creation,low,1.0,1.0,1.0,1.0,1.0
List elements.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Make a brand.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Describe storytelling.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about narrative.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain plot.,content_creation,low,1.0,1.0,1.1,1.0,1.0
List components.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Create a story.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Describe engagement.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about audience.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain interaction.,content_creation,low,1.0,1.0,1.0,1.0,1.0
List metrics.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Make a interactive.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Describe SEO.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about optimization.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain keywords.,content_creation,low,1.0,1.0,1.1,1.0,1.0
List techniques.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Create a optimized.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Describe analytics.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about data.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain metrics.,content_creation,low,1.0,1.0,1.0,1.0,1.0
List tools.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Make a report.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Describe strategy.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about planning.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain goals.,content_creation,low,1.0,1.0,1.1,1.0,1.0
List objectives.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Create a plan.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Describe calendar.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about schedule.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain timing.,content_creation,low,1.0,1.0,1.0,1.0,1.0
List dates.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Make a schedule.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Describe distribution.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about channels.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain platforms.,content_creation,low,1.0,1.0,1.1,1.0,1.0
List methods.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Create a channel.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Describe monetization.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about revenue.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain income.,content_creation,low,1.0,1.0,1.0,1.0,1.0
List streams.,content_creation,low,1.0,1.0,1.0,1.0,1.1
Make a monetized.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Describe copyright.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Talk about legal.,content_creation,low,1.0,1.0,1.0,1.0,1.0
Explain rights.,content_creation,low,1.0,1.0,1.1,1.0,1.0
